id_lead,loja,cidade,instagram,link_perfil_insta,whatsapp,link_wa_me,fonte,marcas_contadas,flag_multimarcas,flag_loja_feminina,flag_ja_cliente,score,status_funil,status_cidade,data_ultimo_contato,proximo_passo,data_proximo_passo,motivo_descarte,observacoes
L001,LOJA TESTE ALPHA,FORMOSA,@loja_teste_alpha,https://instagram.com/loja_teste_alpha,61999990001,https://wa.me/5561999990001,Instagram,5,sim,nao,nao,alto,Novo lead,OK,,Preparar mensagem WA,,,Multimarcas forte - fila WA
L002,BOUTIQUE FEMME TESTE,FORMOSA,@boutique_femme_teste,https://instagram.com/boutique_femme_teste,61999990002,https://wa.me/5561999990002,Instagram,2,nao,sim,nao,baixo,Descartado,OK,,,,Loja feminina,Nao abordar
L003,CLIENTE EXISTENTE SIM,URUACU,@cliente_sim_teste,https://instagram.com/cliente_sim_teste,61999990003,https://wa.me/5561999990003,Maps,6,sim,nao,sim,medio,Descartado,OK,,,,Ja cliente existente,Cruzar aba Clientes
L004,MAGAZINE NORTE TESTE,AGUAS LINDAS DE GOIAS,@magazine_norte_teste,https://instagram.com/magazine_norte_teste,61999990004,https://wa.me/5561999990004,Maps,4,sim,nao,nao,medio,Novo lead,ABRIR,,Enviar WA dia util,,,Cidade prioridade ABRIR
L005,LOJA MARCA UNICA,NIQUELANDIA,@marca_unica_teste,https://instagram.com/marca_unica_teste,61999990005,https://wa.me/5561999990005,Instagram,2,nao,nao,nao,baixo,Descartado,ABRIR,,,,Multimarcas fraco,Menos de 4 marcas
L006,STYLE MAN DF,BRASILIA,@styleman_df_teste,https://instagram.com/styleman_df_teste,61999990006,https://wa.me/5561999990006,Instagram,7,sim,nao,nao,alto,Contato previo feito,ABRIR,2026-05-20,Aguardar resposta,2026-05-25,,Contato enviado - teste funil
L007,ECONOMICA TESTE,URUACU,@economica_teste,https://instagram.com/economica_teste,61999990007,https://wa.me/5561999990007,Maps,5,sim,nao,nao,alto,Agendamento de visita,OK,2026-05-21,Visita 2026-05-28,2026-05-28,,Cliente interessado mostruario
L008,LOJA SEM WA,CERES,@loja_sem_wa_teste,https://instagram.com/loja_sem_wa_teste,,,Instagram,4,sim,nao,nao,medio,Descartado,ABRIR,,,,Sem WhatsApp,Buscar telefone Maps
L009,HOMEN PLACE,NOVO GAMA,@homen_place_teste,https://instagram.com/homen_place_teste,61999990009,https://wa.me/5561999990009,Instagram,5,sim,nao,nao,alto,Novo lead,ABRIR,,Preparar mensagem,,,Hashtag #modamasculina
L010,PLANALTI MODAS,PLANALTINA,@planalti_modas_teste,https://instagram.com/planalti_modas_teste,61999990010,https://wa.me/5561999990010,Maps,4,sim,nao,nao,medio,Perdido,ABRIR,2026-05-19,Arquivar,,Sem interesse pos contato,Teste movimento funil
